"","Name","Total"
"8290","Emma",39829
"19886","Olivia",38884
"23273","Sophia",33451
"3252","Ava",32577
"10682","Isabella",30296
"18247","Mia",29237
"5493","Charlotte",24411
"277","Abigail",24070
"8273","Emily",22692
"9980","Harper",21016
"1757","Amelia",20540
"8699","Evelyn",19412
"7953","Elizabeth",19196
"16873","Madison",19054
"23199","Sofia",18815
"3344","Avery",18063
"7972","Ella",15748
"5623","Chloe",15317
"9528","Grace",15161
"24965","Victoria",14867
"22463","Scarlett",14801
"3118","Aubrey",13883
"26402","Zoey",13341
"2607","Aria",13296
"16224","Lily",13202
"462","Addison",13001
"16193","Lillian",12930
"21383","Riley",12830
"19106","Natalie",12646
"15779","Layla",12548
"9899","Hannah",12374
"20286","Penelope",12303
"4696","Brooklyn",12213
"26391","Zoe",11738
"5051","Camila",11307
"15820","Leah",10986
"3161","Audrey",10930
"19653","Nora",10875
"1260","Alexa",10809
"22408","Savannah",10773
"23143","Skylar",10370
"22174","Samantha",10255
"1465","Allison",10104
"5756","Claire",10013
"20139","Paisley",9908
"8025","Ellie",9900
"2268","Anna",9868
"23396","Stella",9698
"25027","Violet",9642
"18394","Mila",9526
"7807","Eleanor",9524
"2620","Ariana",9521
"57","Aaliyah",9461
"16551","Lucy",9106
"22017","Sadie",9005
"10119","Hazel",8922
"22331","Sarah",8885
"14339","Kennedy",8825
"9194","Gabriella",8821
"5191","Caroline",8732
"16855","Madelyn",8686
"9316","Genesis",8482
"2627","Arianna",8388
"13930","Kaylee",8176
"17863","Maya",8170
"9797","Hailey",8154
"3248","Autumn",8098
"20403","Piper",8048
"22591","Serenity",7755
"19356","Nevaeh",7735
"3232","Aurora",7595
"15312","Kylie",7545
"8638","Eva",7533
"19034","Naomi",7522
"3894","Bella",7419
"20341","Peyton",7377
"21788","Ruby",7250
"16773","Mackenzie",7240
"1342","Alice",7081
"16621","Lydia",7081
"3114","Aubree",7012
"23991","Taylor",7002
"18096","Melanie",6963
"5933","Cora",6747
"20597","Quinn",6725
"13811","Katherine",6701
"12906","Julia",6679
"16853","Madeline",6584
"4510","Brianna",6540
"510","Adeline",6506
"2978","Ashley",6443
"16586","Luna",6441
"9413","Gianna",6379
"8861","Faith",6340
"25066","Vivian",6321
"2273","Annabelle",6236
"10688","Isabelle",6221
"7851","Eliana",6158
"21029","Reagan",6128
"14853","Kinsley",6124
"5759","Clara",6113
"1287","Alexis",6068
"7818","Elena",6054
"1588","Alyssa",5904
"25247","Willow",5879
"9760","Hadley",5841
"1267","Alexandra",5829
"23280","Sophie",5782
"24825","Valentina",5653
"21911","Rylee",5625
"17424","Maria",5607
"3734","Bailey",5522
"14652","Khloe",5513
"19104","Natalia",5505
"6891","Delilah",5436
